ts,sport,match_id,title,score,segment,segment_score,market,selection,price,is_active
"2026-08-25T16:00:25.500Z","esports_counter_strike","51eaad7d-a45a-4dc3-898c-96ae03c5cd95","Evil Ghost vs WhiteThunder","1:0","","","Победитель","Evil Ghost","1.44","true"
"2026-08-25T16:00:25.500Z","esports_counter_strike","51eaad7d-a45a-4dc3-898c-96ae03c5cd95","Evil Ghost vs WhiteThunder","1:0","","","Победитель","WhiteThunder","2.59","true"
"2026-08-25T16:00:25.500Z","esports_counter_strike","dbe576ca-3605-4b74-a036-0c4e3b94374c","1WIN vs Locura Gatos","0:0","","","Победитель","1WIN","1","false"
"2026-08-25T16:00:25.500Z","esports_counter_strike","dbe576ca-3605-4b74-a036-0c4e3b94374c","1WIN vs Locura Gatos","0:0","","","Победитель","Locura Gatos","14","true"
"2026-08-25T16:00:25.500Z","esports_counter_strike","c97d03cf-b4d8-471e-bb14-4316ac69708d","Just Players vs ex-Zero Tenacity","1:0","","","Победитель","Just Players","1.56","true"
"2026-08-25T16:00:25.500Z","esports_counter_strike","c97d03cf-b4d8-471e-bb14-4316ac69708d","Just Players vs ex-Zero Tenacity","1:0","","","Победитель","ex-Zero Tenacity","2.29","true"
"2026-08-25T16:01:19.500Z","esports_counter_strike","51eaad7d-a45a-4dc3-898c-96ae03c5cd95","Evil Ghost vs WhiteThunder","1:0","2","11:13","Победитель","Evil Ghost","1.64","true"
"2026-08-25T16:01:19.500Z","esports_counter_strike","51eaad7d-a45a-4dc3-898c-96ae03c5cd95","Evil Ghost vs WhiteThunder","1:0","2","11:13","Победитель","WhiteThunder","2.12","true"
"2026-08-25T16:01:57.000Z","esports_counter_strike","c97d03cf-b4d8-471e-bb14-4316ac69708d","Just Players vs ex-Zero Tenacity","1:0","2","6:10","Победитель","Just Players","1.58","true"
"2026-08-25T16:01:57.000Z","esports_counter_strike","c97d03cf-b4d8-471e-bb14-4316ac69708d","Just Players vs ex-Zero Tenacity","1:0","2","6:10","Победитель","ex-Zero Tenacity","2.23","true"
"2026-08-25T16:02:09.000Z","esports_counter_strike","c97d03cf-b4d8-471e-bb14-4316ac69708d","Just Players vs ex-Zero Tenacity","1:0","2","6:10","Победитель","Just Players","1.61","true"
"2026-08-25T16:02:09.000Z","esports_counter_strike","c97d03cf-b4d8-471e-bb14-4316ac69708d","Just Players vs ex-Zero Tenacity","1:0","2","6:10","Победитель","ex-Zero Tenacity","2.18","true"
"2026-08-25T16:02:27.000Z","esports_counter_strike","c97d03cf-b4d8-471e-bb14-4316ac69708d","Just Players vs ex-Zero Tenacity","1:0","2","6:11","Победитель","Just Players","1.56","true"
"2026-08-25T16:02:27.000Z","esports_counter_strike","c97d03cf-b4d8-471e-bb14-4316ac69708d","Just Players vs ex-Zero Tenacity","1:0","2","6:11","Победитель","ex-Zero Tenacity","2.32","true"
"2026-08-25T16:03:03.000Z","esports_league_of_legends","c7dc5303-57f4-4466-abd8-414658bc2442","BNK FearX Youth vs Hanwha Life Esports Challengers","1:0","","","Победитель","BNK FearX Youth","1.1","true"
"2026-08-25T16:03:03.000Z","esports_league_of_legends","c7dc5303-57f4-4466-abd8-414658bc2442","BNK FearX Youth vs Hanwha Life Esports Challengers","1:0","","","Победитель","Hanwha Life Esports Challengers","6.23","true"
"2026-08-25T16:03:03.000Z","esports_league_of_legends","c7dc5303-57f4-4466-abd8-414658bc2442","BNK FearX Youth vs Hanwha Life Esports Challengers","1:0","","","Фора по картам","BNK FearX Youth (-2.5)","1.86","true"
"2026-08-25T16:03:03.000Z","esports_league_of_legends","c7dc5303-57f4-4466-abd8-414658bc2442","BNK FearX Youth vs Hanwha Life Esports Challengers","1:0","","","Фора по картам","Hanwha Life Esports Challengers (+2.5)","1.88","true"
"2026-08-25T16:03:03.000Z","esports_league_of_legends","c7dc5303-57f4-4466-abd8-414658bc2442","BNK FearX Youth vs Hanwha Life Esports Challengers","1:0","","","Тотал карт","Больше 3.5","3.39","true"
"2026-08-25T16:03:03.000Z","esports_league_of_legends","c7dc5303-57f4-4466-abd8-414658bc2442","BNK FearX Youth vs Hanwha Life Esports Challengers","1:0","","","Тотал карт","Меньше 3.5","1.29","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","e08659a9-2de6-49cc-87e5-ebb5b503107c","Immortal Squad vs Dark Tamplars","0:1","","","Победитель","Immortal Squad","5.29","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","e08659a9-2de6-49cc-87e5-ebb5b503107c","Immortal Squad vs Dark Tamplars","0:1","","","Победитель","Dark Tamplars","1.14","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","e08659a9-2de6-49cc-87e5-ebb5b503107c","Immortal Squad vs Dark Tamplars","0:1","","","Фора по картам","Immortal Squad (+1.5)","1.94","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","e08659a9-2de6-49cc-87e5-ebb5b503107c","Immortal Squad vs Dark Tamplars","0:1","","","Фора по картам","Dark Tamplars (-1.5)","1.8","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","e08659a9-2de6-49cc-87e5-ebb5b503107c","Immortal Squad vs Dark Tamplars","0:1","","","Тотал карт","Больше 2.5","3.1","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","e08659a9-2de6-49cc-87e5-ebb5b503107c","Immortal Squad vs Dark Tamplars","0:1","","","Тотал карт","Меньше 2.5","1.34","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","44feb73c-0c98-4745-ba41-a686b12d89aa","Klim Sani4 vs Team Lynx","0:0","","","Победитель","Klim Sani4","1.09","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","44feb73c-0c98-4745-ba41-a686b12d89aa","Klim Sani4 vs Team Lynx","0:0","","","Победитель","Team Lynx","6.7","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","44feb73c-0c98-4745-ba41-a686b12d89aa","Klim Sani4 vs Team Lynx","0:0","","","Фора по картам","Klim Sani4 (-1.5)","1.93","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","44feb73c-0c98-4745-ba41-a686b12d89aa","Klim Sani4 vs Team Lynx","0:0","","","Фора по картам","Team Lynx (+1.5)","1.82","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","44feb73c-0c98-4745-ba41-a686b12d89aa","Klim Sani4 vs Team Lynx","0:0","","","Тотал карт","Больше 2.5","4.03","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","44feb73c-0c98-4745-ba41-a686b12d89aa","Klim Sani4 vs Team Lynx","0:0","","","Тотал карт","Меньше 2.5","1.22","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","9edc1d53-9695-46ae-952f-c30e7b5d9c29","LV United vs The Last Titan","0:0","","","Победитель","LV United","1.92","false"
"2026-08-25T16:03:57.000Z","esports_dota_2","9edc1d53-9695-46ae-952f-c30e7b5d9c29","LV United vs The Last Titan","0:0","","","Победитель","The Last Titan","1.82","false"
"2026-08-25T16:03:57.000Z","esports_dota_2","9edc1d53-9695-46ae-952f-c30e7b5d9c29","LV United vs The Last Titan","0:0","","","Фора по картам","LV United (+1.5)","1.59","false"
"2026-08-25T16:03:57.000Z","esports_dota_2","9edc1d53-9695-46ae-952f-c30e7b5d9c29","LV United vs The Last Titan","0:0","","","Фора по картам","The Last Titan (-1.5)","2.26","false"
"2026-08-25T16:03:57.000Z","esports_dota_2","9edc1d53-9695-46ae-952f-c30e7b5d9c29","LV United vs The Last Titan","0:0","","","Тотал карт","Больше 2.5","1.63","false"
"2026-08-25T16:03:57.000Z","esports_dota_2","9edc1d53-9695-46ae-952f-c30e7b5d9c29","LV United vs The Last Titan","0:0","","","Тотал карт","Меньше 2.5","2.2","false"
"2026-08-25T16:03:57.000Z","esports_dota_2","687d2fd8-525b-472c-a6c3-e22cf5061ac4","Nethercore vs Jujutsu","0:1","","","Победитель","Nethercore","4.39","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","687d2fd8-525b-472c-a6c3-e22cf5061ac4","Nethercore vs Jujutsu","0:1","","","Победитель","Jujutsu","1.19","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","687d2fd8-525b-472c-a6c3-e22cf5061ac4","Nethercore vs Jujutsu","0:1","","","Фора по картам","Nethercore (+1.5)","1.54","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","687d2fd8-525b-472c-a6c3-e22cf5061ac4","Nethercore vs Jujutsu","0:1","","","Фора по картам","Jujutsu (-1.5)","2.37","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","687d2fd8-525b-472c-a6c3-e22cf5061ac4","Nethercore vs Jujutsu","0:1","","","Тотал карт","Больше 2.5","1.4","true"
"2026-08-25T16:03:57.000Z","esports_dota_2","687d2fd8-525b-472c-a6c3-e22cf5061ac4","Nethercore vs Jujutsu","0:1","","","Тотал карт","Меньше 2.5","2.8","true"
"2026-08-25T16:05:16.500Z","tennis","63061260-279b-4bd4-b182-165ad0b3f6a7","Федерико Яннакконе vs Алексей Крутых","0:0","","","Победитель","Федерико Яннакконе","6.89","true"
"2026-08-25T16:05:16.500Z","tennis","63061260-279b-4bd4-b182-165ad0b3f6a7","Федерико Яннакконе vs Алексей Крутых","0:0","","","Победитель","Алексей Крутых","1.08","true"
"2026-08-25T16:05:16.500Z","tennis","63061260-279b-4bd4-b182-165ad0b3f6a7","Федерико Яннакконе vs Алексей Крутых","0:0","","","Фора по Геймам","Федерико Яннакконе (+4.5)","2.06","true"
"2026-08-25T16:05:16.500Z","tennis","63061260-279b-4bd4-b182-165ad0b3f6a7","Федерико Яннакконе vs Алексей Крутых","0:0","","","Фора по Геймам","Алексей Крутых (-4.5)","1.71","true"
"2026-08-25T16:05:16.500Z","tennis","63061260-279b-4bd4-b182-165ad0b3f6a7","Федерико Яннакконе vs Алексей Крутых","0:0","","","Тотал геймов","Больше 21.5","2.17","true"
"2026-08-25T16:05:16.500Z","tennis","63061260-279b-4bd4-b182-165ad0b3f6a7","Федерико Яннакконе vs Алексей Крутых","0:0","","","Тотал геймов","Меньше 21.5","1.64","true"
"2026-08-25T16:05:16.500Z","tennis","a7b73a8d-cee0-483b-a8f1-380645867ad6","Matthew Donald vs Хассан, Беньямин","0:1","","","Победитель","Matthew Donald","6.09","true"
"2026-08-25T16:05:16.500Z","tennis","a7b73a8d-cee0-483b-a8f1-380645867ad6","Matthew Donald vs Хассан, Беньямин","0:1","","","Победитель","Хассан, Беньямин","1.1","true"
"2026-08-25T16:05:16.500Z","tennis","a7b73a8d-cee0-483b-a8f1-380645867ad6","Matthew Donald vs Хассан, Беньямин","0:1","","","Фора по Геймам","Matthew Donald (+4.5)","1.79","true"
